code,name,gender,country_code,country,nationality_long,disciplines,events,birth_date,birth_country,hobbies,occupation,education,family,lang,coach
1930464,MALINOVSKIY Konstantin,Male,KAZ,Kazakhstan,Kazakhstan,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men', '10m Air Rifle Mixed Team']",1999-08-03,Kazakhstan,"Skiing, listening to music, taking photos, playing computer games","Athlete, instructor","Graduated in 2023 with a Master's degree in Physical Education and Sports from the Al-Farabi Kazakh National University (Almaty, KAZ).</p><p>Studied at the Kazakhstan Academy of Sports and Tourism from 2017 to 2021","Partner, Arina Altukhova. Father, Konstantin. Mother, Malinovskaya Irina. Older sister, Alexandra","English, Kazakh, Russian",National: Olga Dovgun (KAZ).<br>Personal: Konstantin Malinovskiy (KAZ) - his father
1930465,ALTUKHOVA Arina,Female,KAZ,Kazakhstan,Kazakhstan,['Shooting'],"['10m Air Rifle Women', '50m Rifle 3 Positions Women', '10m Air Rifle Mixed Team']",2003-09-23,Kazakhstan,"Listening to music, playing with friends, reading (detective stories)",Athlete,Studies Physical Education and Sports at the Faculty of Medicine of Al-Farabi Kazakh National University (KAZ),"Partner, Konstantin Malinovsky. Father, Roman Altukhov. Mother, Irina Bakhautdinova","English, Russian","National: Olga Duvgun (KAZ).<br>Club: Skiba Veronica, Melsitov Yuri (KAZ)"
1930466,LE Alexandra,Female,KAZ,Kazakhstan,Kazakhstan,['Shooting'],"['10m Air Rifle Women', '50m Rifle 3 Positions Women', '10m Air Rifle Mixed Team']",2004-05-03,Kazakhstan,"Listening to music, drawing, meditation","Student, athlete","Studying Business Engineering at the Setbayev University (Almaty, KAZ)","Husband, Timofeyev Matvey","English, Russian",National: Olga Dovgun (KAZ).<br>Personal: Veronika Skiba (KAZ)
1930467,SATPAYEV Islam,Male,KAZ,Kazakhstan,Kazakhstan,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men', '10m Air Rifle Mixed Team']",1998-09-21,Kazakhstan,"Fishing with his coach, listening to music, reading books","Athlete, sports instructor","Studied at the Kazakh Academy of Sport and Tourism (Almaty, KAZ)","Wife, Alina Satpayeva. Mother, Ayeva Aliya. Sister, Nurgazina Asiya","English, Kazakh, Russian",National: Olga Dovgun (KAZ).<br>Personal: Gennadiy Nassonov
1930468,YUNUSMETOVA Irina,Female,KAZ,Kazakhstan,Kazakhstan,['Shooting'],"['10m Air Pistol Women', '10m Air Pistol Mixed Team']",2001-11-25,Kazakhstan,,,"Studied at the Central Asian Innovation University (Shymkent, KAZ)","Husband, Ruslan Yunusmetov",Russian,Personal: Yunusmetov Rashid Sadullaevich (KAZ)
1930478,ORYNBAY Assem,Female,KAZ,Kazakhstan,Kazakhstan,['Shooting'],"['Skeet Women', 'Skeet Mixed Team']",1993-09-07,Kazakhstan,"Fishing, football",Economist,"Studied Economics at Narxoz University, Almaty (KAZ)","Married (November 2023). Mother, Aliya Meterbaeva","English, Kazakh, Russian","National: Sergey Kolos (KAZ), Vladislav Mukhamediyev (KAZ).<br>Personal: Oleg Pochivalov (KAZ)"
1930479,DMITRIYENKO Mariya,Female,KAZ,Kazakhstan,Kazakhstan,['Shooting'],['Trap Women'],1988-03-24,Kazakhstan,Reading,Athlete,"Studied Physical Education and Sport at the Auezov South Kazakhstan State University (Shymkent, KAZ)",,Russian,National: Sergey Kolos (KAZ).<br>Personal: Oleg Pochivalov (KAZ)
1930486,YECHSHENKO Eduard,Male,KAZ,Kazakhstan,Kazakhstan,['Shooting'],"['Skeet Men', 'Skeet Mixed Team']",1999-11-13,Kazakhstan,"Tennis, cycling",,,"Wife, Natalya. Mother, Anastassiya. Brothers, Alexandr and Ivan",English,"Personal: Konstantin Yechshenko (KAZ), Alexandr Yechshenko (KAZ) - his grandfather and uncle"
1930532,ZENON Kevin,Male,ARG,Argentina,Argentina,['Football'],['Men'],2001-07-30,Argentina,,Athlete,,Younger sister,Spanish,Club: Diego Martinez (ARG).<br>National: Javier Mascherano (ARG)
1930539,GRAND'PIERRE Alexandre,Male,HAI,Haiti,United States of America,['Swimming'],"[""Men's 100m Breaststroke""]",2003-01-22,,,,"Bowdoin College (Brunswick, ME, USA)","Older sisters, Naomy and Emilie",English,
1930552,ALSHAMLAN Yousef,Male,KUW,Kuwait,Kuwait,['Fencing'],"[""Men's Sabre Individual""]",1998-08-30,,,,,,Arabic,
1930706,VIANA VIERA Juliana,Female,BRA,Brazil,Brazil,['Badminton'],"[""Women's Singles""]",2004-09-23,Brazil,"She likes to keep her mind busy. “I take English courses, I practise Spanish. I really like reading and I try to keep my mind distracted so I don’t just keep thinking about badminton when I leave training.” (badmintonpanam.org, 24 Oct 2022)",Athlete,,,Portuguese,
1930709,COELHO Ygor,Male,BRA,Brazil,Brazil,['Badminton'],"[""Men's Singles""]",1996-11-24,Brazil,,Athlete,,"Wife, Karine","English, Portuguese",
1930739,KNIBB Taylor,Female,USA,United States,United States of America,"['Cycling Road', 'Triathlon']","[""Women's Individual Time Trial"", ""Women's Individual""]",1998-02-14,United States,"Reading, spending time with family and friends, cooking",Athlete,"Psychology at Cornell University, Ithaca (NY, USA)","Father, Robert. Mother, Leslie. Brother, Jack",English,Personal: Erin Carson
1930741,KASPER Kirsten,Female,USA,United States,United States of America,['Triathlon'],"[""Women's Individual""]",1991-08-31,United States,"Spending time with family, hiking",Athlete,"Received an undergraduate degree in Marketing and Management from Georgetown University (Washington, DC) in 2013 and a Master's in Sports Industry Management in 2014","Husband, Matthew Sharpe",English,Personal: Nate Wilson (USA)
1930747,PEARSON Morgan,Male,USA,United States,United States of America,['Triathlon'],"[""Men's Individual""]",1993-09-22,United States,"Reading, watching sports and films, cooking",Athlete,"Attended Duke University (Durham, NC, USA) for one year before transferring to the University of Colorado Boulder (USA) to study Economics and Mathematics. (triathlon.org, 06 Jun 2021)","Older brother, Andrew (deceased)",English,Personal: Dean Gollich
